year,ls_number,ac_id,name,party,gender,caste,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,State,start_source,end_source,comments,type_begin,type_end,dyn,comments
1990,9,,HARMOHAN DHAWAN,JD,M,,Civil Aviation,MoS(IC),21-11-1990,21-06-1991,Lok Sabha,CHANDIGARH,9_Chandigarh_1_0_1,Chandigarh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1574.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,
2014,16,11,HARSIMRAT KAUR BADAL,SAD,F,IC SIKH,Food Processing Industries,CM,27-05-2014,30-05-2019,Lok Sabha,BATHINDA,16_Punjab_11_0_1,Punjab,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1782.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,start_of_term,end_of_term,1,Married to deputy Chief Minister of Punjab Sukhbir Singh Badal. Daughter-in-law of Chief Minister of Punjab Parkash Singh Badal. Her brother Bikram Singh Majithia was a former minister of state. Her maternal family is one of the established feudal families of Punjab.
1990,9,,HUKUMDEO NARAYAN YADAV,JD,M,OBC,Textiles,CM,21-11-1990,21-06-1991,Lok Sabha,SITAMARHI,9_Bihar_11_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1574.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1990,9,,HUKUMDEO NARAYAN YADAV,JD,M,OBC,Food Processing Industries,CM,21-11-1990,21-06-1991,Lok Sabha,SITAMARHI,9_Bihar_11_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1574.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1999,13,,HUKUMDEO NARAYAN YADAV,BJP,M,OBC,Agriculture,MoS,13-10-1999,27-05-2000,Lok Sabha,MADHUBANI,13_Bihar_13_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1666.pdf,,start_of_term,mid_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1999,13,,HUKUMDEO NARAYAN YADAV,BJP,M,OBC,Surface Transport,MoS,27-05-2000,07-11-2000,Lok Sabha,MADHUBANI,13_Bihar_13_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1666.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1677.pdf,,mid_term,mid_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1999,13,,HUKUMDEO NARAYAN YADAV,BJP,M,OBC,Shipping,MoS,07-11-2000,02-11-2001,Lok Sabha,MADHUBANI,13_Bihar_13_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1677.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1695.pdf,,mid_term,mid_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1999,13,,HUKUMDEO NARAYAN YADAV,BJP,M,OBC,Agriculture,MoS,02-11-2001,22-05-2004,Lok Sabha,MADHUBANI,13_Bihar_13_0_1,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1695.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,0,"A former union minister in United Front Govt, Hukum Dev Narayan started his political career at the Panchayat Level in the 1950's. He held various positions at the Panchayat Level, including President of the Panchayat Samiti. He was elected MLA in 1967."
1996,11,,I. K. GUJRAL,JD,M,,Water Resources,CM,01-06-1996,29-06-1996,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1612.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1614.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,External Affairs,CM,01-06-1996,21-04-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1612.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1622.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,"Civil Supplies, Consumer Affairs, and Public Distribution",CM,21-04-1997,24-04-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1624.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Food,CM,21-04-1997,24-04-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1624.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Finance,CM,21-04-1997,01-05-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1626.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Labour,CM,21-04-1997,01-05-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1626.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Petroleum and Natural Gas,CM,21-04-1997,09-06-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Power,CM,21-04-1997,09-06-1997,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,,mid_term,mid_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Atomic Energy,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,"Personnel, Public Grievances and Pensions",CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Electronics,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,External Affairs,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Jammu and Kashmir Affairs,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Ocean Development,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Space,CM,21-04-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Health and Family Welfare,CM,09-06-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Planning and Programme Implementation,CM,09-06-1997,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Coal,CM,10-01-1998,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1635.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,I. K. GUJRAL,JD,M,,Non-Conventional Energy Sources,CM,10-01-1998,19-03-1998,Rajya Sabha,NA,NA ,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1635.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,1,Son Naresh Gujral is a member of Shiromani Akali Dal and an MP representing Punjab in the Rajya Sabha
1996,11,,INDRAJIT GUPTA,CPI,M,,Home Affairs,CM,29-06-1996,21-04-1997,Lok Sabha,MIDNAPORE,11_West_Bengal_32_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1614.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1622.pdf,,mid_term,mid_term,0,Bureaucratic family
1996,11,,INDRAJIT GUPTA,CPI,M,,Home Affairs,CM,21-04-1997,19-03-1998,Lok Sabha,MIDNAPORE,11_West_Bengal_32_0_1,West_Bengal,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,0,Bureaucratic family
1999,13,,ISHWAR DAYAL SWAMI,BJP,M,,Home Affairs,MoS,13-10-1999,22-05-2004,Lok Sabha,KARNAL,13_Haryana_3_0_1,Haryana,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,start_of_term,end_of_term,0,
1991,10,,JAGANNATH MISHRA,INC,M,,Rural Areas and Employment,CM,11-06-1995,16-05-1996,Rajya Sabha,NA,NA,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1584.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,1,Son Nitish Mishra is Vice President of BJP Bihar and an MP
1991,10,,JAGANNATH MISHRA,INC,M,,Agriculture,CM,07-02-1996,16-05-1996,Rajya Sabha,NA,NA,Bihar,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1598.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,1,Son Nitish Mishra is Vice President of BJP Bihar and an MP
2014,16,,JAGAT PRAKASH NADDA,BJP,M,,Health and Family Welfare,CM,09-11-2014,30-05-2019,Rajya Sabha,NA,NA,Himachal_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_10.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1856.pdf,,mid_term,end_of_term,1,Mother-in-law Jayashree Banerjee is a member of BJP and former MP
1991,10,,JAGDISH TYTLER,INC,M,,Surface Transport,MoS(IC),21-06-1991,15-09-1995,Lok Sabha,DELHI SADAR,10_Delhi_6_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1591.pdf,,start_of_term,mid_term,0,Student politics
1991,10,,JAGDISH TYTLER,INC,M,,Coal,MoS(IC),15-09-1995,16-05-1996,Lok Sabha,DELHI SADAR,10_Delhi_6_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1591.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,0,Student politics
2004,14,,JAGDISH TYTLER,INC,M,,Non-Resident Indian Affairs,MoS(IC),22-05-2004,10-08-2005,Lok Sabha,DELHI SADAR,14_Delhi_6_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1461.pdf,,start_of_term,mid_term,0,Student politics
1998,12,,JAGMOHAN,BJP,M,,Communications,CM,05-12-1998,08-06-1999,Lok Sabha,NEW DELHI,12_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1646.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1654.pdf,,mid_term,mid_term,0,
1998,12,,JAGMOHAN,BJP,M,,Urban Development,CM,09-06-1999,13-10-1999,Lok Sabha,NEW DELHI,12_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1654.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,0,
1999,13,,JAGMOHAN,BJP,M,,Urban Development,CM,13-10-1999,22-11-1999,Lok Sabha,NEW DELHI,13_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1753.pdf,,start_of_term,mid_term,0,
1999,13,,JAGMOHAN,BJP,M,,Urban Development and Poverty Alleviation,CM,22-11-1999,01-09-2001,Lok Sabha,NEW DELHI,13_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1753.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,,mid_term,mid_term,0,
1999,13,,JAGMOHAN,BJP,M,,Tourism,CM,01-09-2001,19-11-2001,Lok Sabha,NEW DELHI,13_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1696.pdf,,mid_term,mid_term,0,
1999,13,,JAGMOHAN,BJP,M,,Statistics and Programme Implementation,CM,01-09-2001,19-11-2001,Lok Sabha,NEW DELHI,13_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1690.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1696.pdf,,mid_term,mid_term,0,
1999,13,,JAGMOHAN,BJP,M,,Tourism and Culture,CM,19-11-2001,22-05-2004,Lok Sabha,NEW DELHI,13_Delhi_1_0_1,Delhi,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1696.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,0,
1990,9,,JAI PRAKASH,JD,M,,Petroleum and Chemicals,DM,21-11-1990,21-06-1991,Lok Sabha,HISAR,9_Haryana_9_0_1,Haryana,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1574.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,
1990,9,,JAI PRAKASH,JD,M,,Communications,DM,28-11-1990,21-06-1991,Lok Sabha,HISAR,9_Haryana_9_0_1,Haryana,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1575.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,
2004,14,,JAIRAM RAMESH,INC,M,,Minister Without Portfolio,MoS,29-01-2006,31-01-2006,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1479.pdf,,mid_term,mid_term,0,
2004,14,,JAIRAM RAMESH,INC,M,,Commerce and Industry,MoS,31-01-2006,25-02-2009,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1479.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1452.pdf,,mid_term,mid_term,0,
2004,14,,JAIRAM RAMESH,INC,M,,Power,MoS,06-04-2008,25-02-2009,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1486.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1452.pdf,,mid_term,mid_term,0,
2009,15,,JAIRAM RAMESH,INC,M,,Environment and Forests,MoS(IC),28-05-2009,12-07-2011,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_935.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,,mid_term,mid_term,0,
2009,15,,JAIRAM RAMESH,INC,M,,Rural Development,CM,12-07-2011,26-05-2014,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_917.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,mid_term,end_of_term,0,
2009,15,,JAIRAM RAMESH,INC,M,,Drinking Water and Sanitation,CM,13-07-2011,28-10-2012,Rajya Sabha,NA,NA ,Karnataka,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_911.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_874.pdf,,mid_term,mid_term,0,
1999,13,,JAISINGH RAO PATIL,BJP,M,,Human Resource Development,MoS,13-10-1999,27-05-2000,Lok Sabha,BEED,13_Maharashtra_34_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1666.pdf,,start_of_term,mid_term,,
1999,13,,JAISINGH RAO PATIL,BJP,M,,Mines,MoS,27-05-2000,01-09-2001,Lok Sabha,BEED,13_Maharashtra_34_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1666.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1689.pdf,,mid_term,mid_term,,
1990,9,,JANESHWAR MISHRA,JD,M,,Railways,CM,21-11-1990,21-06-1991,Lok Sabha,ALLAHABAD,9_Uttar_Pradesh_56_0_1,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1574.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1541.pdf,,mid_term,end_of_term,0,Student politics
1996,11,,JANESHWAR MISHRA,SP,M,,Water Resources,CM,29-06-1996,21-04-1997,Rajya Sabha,NA,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1614.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1622.pdf,,mid_term,mid_term,0,Student politics
1996,11,,JANESHWAR MISHRA,SP,M,,Water Resources,CM,21-04-1997,09-06-1997,Rajya Sabha,NA,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1623.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,,mid_term,mid_term,0,Student politics
1996,11,,JANESHWAR MISHRA,SP,M,,Petroleum and Natural Gas,CM,09-06-1997,19-03-1998,Rajya Sabha,NA,NA ,Uttar_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1629.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1637.pdf,,mid_term,end_of_term,0,Student politics
1999,13,,JAS KAUR MEENA,BJP,F,,Human Resource Development,MoS,29-01-2003,22-05-2004,Lok Sabha,SAWAI MADHOPUR,13_Rajasthan_11_0_1,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1712.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1469.pdf,,mid_term,end_of_term,1,
1996,11,,JASWANT SINGH,BJP,M,,Finance,CM,16-05-1996,01-06-1996,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1608.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1610.pdf,,start_of_term,mid_term,0,"An army major, Jaswant is among few non RSS leaders who reached to the top in the BJP. He became a party member, soon after BJP was founded and was elected to Rajya Sabha in 1980. In fact, during the BJP-led NDA rule, Jaswant held defence, external affairs and finance portfolios before falling out the parent organisaton over favourable portrayal of Mohammad Ali Jinnah, founder of Pakistan in his book on the partition of the Indian subcontinent in 1947. He enjoys clean image. Jaswant's son Manvendra is a journalist turned politician. "
1998,12,,JASWANT SINGH,BJP,M,,External Affairs,CM,05-12-1998,13-10-1999,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1646.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,0,"An army major, Jaswant is among few non RSS leaders who reached to the top in the BJP. He became a party member, soon after BJP was founded and was elected to Rajya Sabha in 1980. In fact, during the BJP-led NDA rule, Jaswant held defence, external affairs and finance portfolios before falling out the parent organisaton over favourable portrayal of Mohammad Ali Jinnah, founder of Pakistan in his book on the partition of the Indian subcontinent in 1947. He enjoys clean image. Jaswant's son Manvendra is a journalist turned politician. "
1998,12,,JASWANT SINGH,BJP,M,,Electronics,CM,03-02-1999,13-10-1999,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1648.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,0,"An army major, Jaswant is among few non RSS leaders who reached to the top in the BJP. He became a party member, soon after BJP was founded and was elected to Rajya Sabha in 1980. In fact, during the BJP-led NDA rule, Jaswant held defence, external affairs and finance portfolios before falling out the parent organisaton over favourable portrayal of Mohammad Ali Jinnah, founder of Pakistan in his book on the partition of the Indian subcontinent in 1947. He enjoys clean image. Jaswant's son Manvendra is a journalist turned politician. "
1998,12,,JASWANT SINGH,BJP,M,,Surface Transport,CM,06-08-1999,13-10-1999,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1655.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1750.pdf,,mid_term,end_of_term,0,"An army major, Jaswant is among few non RSS leaders who reached to the top in the BJP. He became a party member, soon after BJP was founded and was elected to Rajya Sabha in 1980. In fact, during the BJP-led NDA rule, Jaswant held defence, external affairs and finance portfolios before falling out the parent organisaton over favourable portrayal of Mohammad Ali Jinnah, founder of Pakistan in his book on the partition of the Indian subcontinent in 1947. He enjoys clean image. Jaswant's son Manvendra is a journalist turned politician. "
1999,13,,JASWANT SINGH,BJP,M,,External Affairs,CM,13-10-1999,01-07-2002,Rajya Sabha,NA,NA ,Rajasthan,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,,start_of_term,mid_term,0,"An army major, Jaswant is among few non RSS leaders who reached to the top in the BJP. He became a party member, soon after BJP was founded and was elected to Rajya Sabha in 1980. In fact, during the BJP-led NDA rule, Jaswant held defence, external affairs and finance portfolios before falling out the parent organisaton over favourable portrayal of Mohammad Ali Jinnah, founder of Pakistan in his book on the partition of the Indian subcontinent in 1947. He enjoys clean image. Jaswant's son Manvendra is a journalist turned politician. "
